File;Device_ID;season;diel;habitat;cluster;technophony;geophony;anthropophony;biophony;waterbirds;birdsong;other;avian;insect;amphibian;dominance
2025-07-10T20_31_46.035Z;8f06b854;summer;dusk;Scrubland;AWD;self-noise;wind;0;insect;0;0;0;0;1;0;geophony
2025-07-12T20_08_18.717Z;8f06b854;summer;day;Scrubland;AWD;self-noise;wind;0;insect;0;0;0;0;1;0;biophony
2025-07-14T03_23_14.963Z;8f06b854;summer;dawn;Scrubland;AWD;self-noise;0;0;songbird;0;1;0;1;0;0;technophony
2025-07-20T03_13_18.945Z;8f06b854;summer;dawn;Scrubland;AWD;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-07-23T20_07_39.973Z;8f06b854;summer;dusk;Scrubland;AWD;self-noise;wind;0;insects;0;0;0;0;1;0;geophony
2025-07-28T22_47_55.355Z;8f06b854;summer;night;Scrubland;AWD;self-noise;wind;0;insects;0;0;0;0;1;0;geophony
2025-08-16T20_13_07.263Z;8f06b854;summer;dusk;Scrubland;AWD;self-noise;0;0;insect;0;0;0;0;1;0;technophony
2025-08-18T23_21_06.939Z;8f06b854;summer;night;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-08-22T13_00_20.841Z;8f06b854;summer;day;Scrubland;AWD;self-noise, ticking;wind;0;0;0;0;0;0;0;0;geophony
2025-08-26T22_17_14.959Z;8f06b854;summer;night;Scrubland;AWD;self-noise;wind;0;insects;0;0;0;0;1;0;geophony
2025-09-15T05_17_08.167Z;8f06b854;summer;dawn;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-09-19T08_16_43.841Z;8f06b854;summer;day;Scrubland;AWD;self-noise;wind;airplane;birdcall;0;0;1;1;0;0;anthropophony
2025-06-15T02_07_04.725Z;8f06b854;spring;dawn;Scrubland;AWD;self-noise;wind;0;songbirds;0;1;0;1;0;0;geophony
2025-04-06T07_02_21.624Z;8f06b854;spring;day;Scrubland;AWD;self-noise;wind;airplanes;songbirds;0;1;0;1;0;0;geophony
2025-04-06T19_07_12.379Z;8f06b854;spring;dusk;Scrubland;AWD;self-noise;wind;0;songbirds;0;1;0;1;0;0;technophony
2025-04-15T22_52_18.967Z;8f06b854;spring;night;Scrubland;AWD;self-noise;0;0;songbirds;0;1;0;1;0;0;technophony
2025-08-31T03_48_57.054Z;8f06b854;summer;dawn;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-07-03T06_25_05.166Z;8f06b854;summer;day;Scrubland;AWD;self-noise;wind;0;songbird;0;1;0;1;0;0;geophony
2025-09-21T18_42_34.718Z;8f06b854;summer;dusk;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-09-12T00_41_36.421Z;8f06b854;summer;night;Scrubland;AWD;self-noise;wind, rain, waves?;0;0;0;0;0;0;0;0;geophony
2025-03-29T22_50_47.427Z;9a2290fc;spring;night;Scrubland;AWD;self-noise;wind;airplane;0;0;0;0;0;0;0;geophony
2025-03-30T19_00_05.553Z;9a2290fc;spring;dusk;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-04-07T22_17_55.907Z;9a2290fc;spring;night;Scrubland;AWD;self-noise;wind;0;gull;0;0;0;1;0;0;geophony
2025-04-21T21_34_25.486Z;9a2290fc;spring;night;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;technophony
2025-04-25T04_10_46.162Z;9a2290fc;spring;dawn;Scrubland;AWD;self-noise;wind;0;songbirds;0;1;0;1;0;0;geophony
2025-05-02T11_44_37.691Z;9a2290fc;spring;day;Scrubland;AWD;self-noise, ticking;wind;car;0;0;0;0;0;0;0;geophony
2025-05-06T18_51_55.320Z;9a2290fc;spring;day;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-05-23T19_01_03.425Z;9a2290fc;spring;day;Scrubland;AWD;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-05-24T02_50_22.421Z;9a2290fc;spring;dawn;Scrubland;AWD;self-noise;wind;0;songbirds;0;1;0;1;0;0;technophony
2025-05-29T20_51_48.866Z;9a2290fc;spring;dusk;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
