,bugg,File,Date,TQ ,CENT,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,MED,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NBPEAKS,LEQf,ENRf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BI,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,nROI,aROI
0,bugg_RPiID-1000000030d19c18,2025-08-31T00_02_57.973Z.mp3,2025-08-31 00:02:57.973,16609.03494269512,9651.212589437693,15087.333333333334,-4.3647844e-05,2.7190708e-06,-0.020834704765878807,3.566331608027895,82.2080135345459,-45.947105,0.27678680419921875,0.0050424873,0.9924134082762814,0.011805689955486743,61,5.310038328170776,0.0013547513063673312,0.040634920634920635,0.033346036585365856,5.7804267e-05,1.7153126e-09,6.042070280677173,47.132865274403976,1,31.110725086542455,-55.868674995183966,-58.00769085059399,2.1390158554100225,0.8227487207033949,0.0021780405942730674,0.2923720339210132,0.25936824247834245,0.10359663393397778,17.635603418320894,3.6136972174843156,308.83615,-0.52890575,0.3081251,0.007406325,0.0022820747,6.022020975056689,0.01683849,2.3025720064174964,0.0028327480834741793,0.12836797060979727,0.13294246005867238,0.1748839805994626,0.1524991379936121,787.810546875,6.008638143539429,0.005478655512001548,0.0458633562426591,0.10676706171912816,0.48340726,0.33291186407829326,3.336575746536255,6.1215467,53163.61801499973,0.9783820509910583,1.0953556049468,1.2158566,0.0,0.053535133565621375
1,bugg_RPiID-1000000030d19c18,2025-08-31T00_18_04.060Z.mp3,2025-08-31 00:18:04.060,16443.131934337827,9544.41351001129,12620.9,-4.6714467e-05,6.057693e-06,1.002249791479103,34.79726684400465,85.68540573120117,-45.324497,1.1241912841796875,0.0054172045,0.9599278723347777,0.07489839365202244,387,6.659523844718933,0.05496419585833172,0.044557210271495985,1.2338033536585367,5.9611797e-05,3.727705e-09,9.36179876443214,110.16079764812949,1,32.69417158989586,-54.28522835511834,-57.707034348694805,3.421805993576463,0.6756678582610477,0.0016425152720760394,0.03322303030173468,0.015400248460887944,0.1132226626052183,18.169086684671893,3.669696298063211,308.7838,-0.693099,0.18126585,0.012824219,0.0023245928,5.443171768707483,0.021211792,1.797606371256594,0.5346166815115933,0.12967767975552094,0.13261845758258958,0.1755967958208092,0.15286170997870693,789.68359375,5.95129668712616,0.005532719947735193,0.04506574291693521,0.10732076521187531,0.48434928,0.32847842015326023,2.1145758628845215,5.1731324,37990.29372003145,0.9216436892747879,0.8758689526843629,1.2144188,0.0,0.005368636275648471
2,bugg_RPiID-1000000030d19c18,2025-08-31T00_33_10.189Z.mp3,2025-08-31 00:33:10.189,16501.65388499895,9613.441047824044,14032.4,-4.469695e-05,4.124922e-06,0.0020041536861197676,11.062818062692013,84.01702880859375,-45.77115,0.7574682235717773,0.005145678,0.9802661189092211,0.05380298045287401,278,5.944049954414368,0.0392877878846526,0.047136507936507935,0.8336509146341463,5.8213645e-05,2.285893e-09,7.522383365555155,74.19677070783801,1,31.611544982268658,-55.36785488113146,-57.96737957030732,2.5995246891758654,0.7706566280549907,0.0015832055070015283,0.03187193647897302,0.014976945743445658,0.1064257269342036,18.22612063521916,3.620259834774453,309.0808,-0.59024316,0.2576693,0.008982435,0.0023144977,5.796838506235828,0.018443331,2.2906906167678818,0.0858673552949318,0.12918344988921013,0.13280685518849078,0.17661783300849565,0.15345490647986837,792.748046875,5.8667343854904175,0.005514572444831592,0.04534710971234536,0.10670192013174613,0.4850801,0.331911811294655,2.7287073135375977,5.787557,47546.370233729016,0.961427565664053,1.0137089670239097,1.2131544,0.0,0.0015879065040650408
3,bugg_RPiID-1000000030d19c18,2025-08-31T00_48_16.279Z.mp3,2025-08-31 00:48:16.279,16536.493682744043,9652.891167432692,13988.116666666667,-4.5553497e-05,3.199565e-06,0.041698390141453524,3.240919571005808,82.91449546813965,-45.610435,0.2816276550292969,0.0052417736,0.9939522173677645,0.023611379910973486,122,3.8213473558425903,0.010063866847300176,0.035512871815392824,0.28344131097560976,5.7666868e-05,1.7352183e-09,6.187958503001295,48.98260747215364,1,31.114193215237187,-55.86520630616747,-57.97064151771619,2.1054352115487163,0.8190143276409266,0.0015869962776055013,0.03174889438311945,0.014879333400393713,0.10889150422744287,15.926184057390172,3.448169963715605,308.9099,-0.5267304,0.30998895,0.007484685,0.0023201697,5.663140943877551,0.016725482,2.302576096002561,0.0023438168138611103,0.1282155830676848,0.13310394372087342,0.17611853003876451,0.15313278830332944,791.083984375,5.8245909214019775,0.005558050837204801,0.044299660534671124,0.10898187569011678,0.48550192,0.3328738018559913,3.2933454513549805,6.097758,52896.81883411132,0.9774377178400755,1.0774111816317644,1.2142755,0.0,0.00045368757259001163
4,bugg_RPiID-1000000030d19c18,2025-08-31T01_03_22.329Z.mp3,2025-08-31 01:03:22.329,16563.16273542125,9682.476249480289,15216.083333333334,-4.3804623e-05,2.6310545e-06,-0.032438798172238666,3.0626729915993547,82.06522941589355,-46.01231,0.18480682373046875,0.005004773,0.9959429874942352,0.005419005225469325,28,3.524256646633148,0.0,0.0,0.0,5.72859e-05,1.6394569e-09,6.129843132101033,48.02977402292144,1,30.992748751628213,-55.98665072001408,-58.0908737477322,2.1042230277181204,0.8253069817441625,0.0015742024268171617,0.03176666362032554,0.014924980596416337,0.10762475355424417,16.013483921270875,3.489810710197517,308.76395,-0.513876,0.3211122,0.00718394,0.0023068506,5.680452097505669,0.016318005,2.302577007351527,0.0022479966861588705,0.1290598924226324,0.13386478020624362,0.17542316134381455,0.15283902560007742,789.56640625,5.817509293556213,0.005356537940379404,0.044080174977729675,0.10487795568504962,0.4830346,0.3329208515351638,3.347352981567383,6.1376348,53809.126538227516,0.9786317870020866,1.0862111106242722,1.2126766,0.0,0.0
5,bugg_RPiID-1000000030d19c18,2025-08-31T01_18_28.426Z.mp3,2025-08-31 01:18:28.426,16560.60494520993,9668.703846230752,14854.55,-4.3309374e-05,2.8345296e-06,-0.009607373610137108,3.5154500484689155,82.38844871520996,-45.916878,0.24961090087890625,0.005060067,0.9945335650761444,0.01219276175730598,63,4.485264420509338,0.005419005225469325,0.040634920634920635,0.13338414634146342,5.729482e-05,1.7028062e-09,6.278610575635193,50.616085132590705,1,31.04918902708952,-55.930210930239156,-58.06799122296514,2.137780292725985,0.819181036157163,0.0014547931527923996,0.028948936445769013,0.013538664196792949,0.09830606838155276,15.972502581303116,3.437558460952276,308.8814,-0.5246742,0.31175563,0.0073545873,0.002292834,5.713773738662131,0.016556773,2.3024519969746438,0.009071877022149621,0.1290928410803865,0.13349109044948357,0.17482914865935906,0.15289876113046844,789.875,5.810089707374573,0.005212114063104917,0.04532504806800047,0.10243514615822392,0.48636708,0.3328534174167241,3.27164363861084,6.098607,53038.4903326672,0.9770779833197594,1.078189802395161,1.2142513,0.0,0.0015122919086333721
6,bugg_RPiID-1000000030d19c18,2025-08-31T01_33_34.418Z.mp3,2025-08-31 01:33:34.418,15690.328726015707,9136.494288669437,12355.566666666666,-4.8333684e-05,6.248138e-05,-1.4801949336959883,73.05061561920985,95.81843376159668,-45.518486,8.702024936676025,0.005297558,0.7284942642586538,0.17689181343139151,914,15.724554061889648,0.16547319527772403,0.11959675436439636,1.3838605182926829,8.0418904e-05,7.8595924e-08,12.276977487546375,165.3714893836412,1,43.36951237767816,-43.60988677662136,-57.58398017424212,13.974093397620763,0.26866894674831787,0.0015676475526478217,0.03185811596114607,0.01506437039049957,0.1048349536336981,16.064688518271772,3.410991157568154,308.7897,-0.97728103,0.011490006,0.19963554,0.0022938135,5.853941680839002,0.26239365,0.05551090847152702,0.8980254195515496,0.13786542120740358,0.1330356237099422,0.17462643663837005,0.15322125737998452,791.541015625,8.8977712392807,0.006730455139372822,0.04571712742369063,0.11432348585544228,0.48093787,0.29522427419821423,1.0843454599380493,2.501774,4123.089390656657,0.700516015291214,0.0999553506635033,1.2314506,0.0,0.004763719512195122
7,bugg_RPiID-1000000030d19c18,2025-08-31T01_48_40.530Z.mp3,2025-08-31 01:48:40.530,16102.424475607673,9215.152670538568,10344.666666666666,-5.0029532e-05,2.505872e-05,-0.8409774669172213,73.19901245104442,91.85078620910645,-44.63728,4.156737327575684,0.0058632195,0.846941684806472,0.17747242113412037,917,10.063011646270752,0.1571511515386104,0.06243246084305687,2.517625762195122,6.6814275e-05,2.0625855e-08,12.332184078759054,169.6875306690093,1,38.06710567219974,-48.912293636281206,-56.80152736645923,7.889233730178027,0.36638904945734685,0.001629010651799434,0.03321955542868105,0.015636697777310027,0.11061980342096767,14.396267903807308,3.2916315445336277,308.58194,-0.9204887,0.041401573,0.055614393,0.0023025232,6.093813775510204,0.07252053,0.4732134483014895,0.8670262817228422,0.13464880849416394,0.13298179582254188,0.1748449336118131,0.15278004621564073,789.26171875,6.422384977340698,0.0061281848867595825,0.04552258284359213,0.11425834426806027,0.48402324,0.3024747868378957,1.1898646354675293,3.1383235,12071.615441971446,0.7444529831409454,0.31998801152014145,1.2189713,0.0,0.008544449283778552
8,bugg_RPiID-1000000030d19c18,2025-08-31T02_04_57.739Z.mp3,2025-08-31 02:04:57.739,16257.885701986508,9370.142269030217,11281.533333333333,-5.3811003e-05,1.35188875e-05,-0.536487620088072,31.00484664966454,89.17110443115234,-45.10004,2.778792381286621,0.005559017,0.9091037831641559,0.15966711825043545,825,8.213422298431396,0.1354751306367331,0.053821086933669715,2.517625762195122,6.2585284e-05,1.0443318e-08,12.274865126863256,172.92382333567528,1,35.643716550930485,-51.335684253863235,-57.46206814081254,6.126383886949306,0.45769223104329987,0.0015532742141077804,0.03142557324035666,0.014931298547423033,0.10585154023349241,15.136928786616615,3.269426439847771,308.41348,-0.8568588,0.07708781,0.029896136,0.0023046278,6.294112811791384,0.04307213,1.3135249219608398,0.7124855560014283,0.13204586453159364,0.13278408185151372,0.1746546833953931,0.1526624655197445,788.654296875,6.210153698921204,0.005786784988385598,0.04394472197966879,0.10741847759294833,0.4847371,0.30907633900642395,1.3102190494537354,3.7342148,19884.918020479352,0.7882553040981293,0.5153828024365885,1.2171272,0.0,0.012892288521099495
9,bugg_RPiID-1000000030d19c18,2025-08-31T02_20_04.145Z.mp3,2025-08-31 02:20:04.145,16550.766013441895,9637.057008641183,12722.383333333333,-4.7312045e-05,5.312948e-06,0.2385666590126335,6.618680129705351,85.11595726013184,-45.51027,0.9178028106689453,0.005302571,0.980238010769829,0.08554286820205148,442,5.436176657676697,0.06947938842655313,0.04736343022057307,1.4672256097560976,5.794118e-05,2.1143785e-09,7.26627085610087,69.48218151567794,1,31.453209901590583,-55.52618993328383,-57.98798040605636,2.4617904727725275,0.7836487325583033,0.0015317931806853036,0.030508917523686452,0.014316640888868304,0.10056060175146952,15.45906664605881,3.366453782363092,308.47296,-0.57373846,0.27085918,0.008499806,0.0023022504,6.096301020408164,0.017915525,2.29460758865664,0.070254156470404,0.12994538759977264,0.1322965254098683,0.1739850690965524,0.15188855013550134,784.65625,5.841913223266602,0.005397369821912506,0.044192189871965756,0.10484538489135861,0.48761892,0.33218654299465317,2.836087942123413,5.870844,49004.08837700793,0.96559988707304,1.0342421125756835,1.2138278,0.0,0.004347839237320944
