,bugg,File,Date,TQ ,CENT,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,MED,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NBPEAKS,LEQf,ENRf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BI,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,nROI,aROI
0,bugg_RPiID-10000000d7a35b3c,2025-08-31T00_04_13.396Z.mp3,2025-08-31 00:04:13.396,20277.51698871095,10923.856084060766,10224.333333333334,-6.093822e-05,0.00026633998,0.14048557524922345,48.49142365413851,102.11519241333008,-36.339565,7.109213829040527,0.015241287,0.7967709983364814,0.3133346235726727,1619,11.690596342086792,0.2870137410489646,0.057391987906273624,5.001905487804878,0.00026905607,2.8338266e-07,5.598641367468084,52.9284839998095,3,49.583839199097966,-37.39556015750718,-50.21857761698135,12.823017459474173,0.5861938459313046,0.2199525994822349,0.4696205304362636,0.37773248791941894,0.2926141274444609,27.250046766007536,4.546604333209465,322.70804,-0.9794095,0.01040234,0.42252174,0.004395215,3.715747590702948,1.5313985,0.002188878638034108,0.8999470385735723,0.14180690439123234,0.14148142627339186,0.210660990730079,0.18274573231223384,944.064453125,18.265641927719116,0.03903225416182733,0.05728329606872854,0.5753956413453682,0.42095682,0.32803992678721744,2.071340560913086,4.613157,9424.5525354676,0.9185624942183495,1.3400049800618796,1.5675576,120.04573170731707,2.672824719318622
1,bugg_RPiID-10000000d7a35b3c,2025-08-31T00_19_19.481Z.mp3,2025-08-31 00:19:19.481,20035.86961443179,10730.611645283228,9121.466666666667,-6.0307626e-05,0.0008904167,0.8456703598960013,28.85112847205093,107.35671043395996,-31.778904,7.244447231292725,0.025766468,0.8125908057335232,0.3408167215018386,1761,11.542900800704956,0.3208825237081479,0.07103078377722553,4.518387957317073,0.00035488897,1.0522673e-06,8.657269120599759,96.44563098654412,1,54.784338852318015,-32.195060906508985,-45.281462019580026,13.086401113071041,0.4137194775604958,0.024039730564864747,0.33095686635975274,0.2810188339109261,0.18124149895868324,18.2920419297905,3.738755139636411,319.5312,-0.992194,0.003918262,2.3950267,0.0093843425,3.1123844954648527,4.785679,0.13147105622386876,0.8872351312006288,0.15838419782374114,0.16223932292798865,0.21863405329332258,0.19731212797619047,1019.314453125,15.529186725616455,0.05315781673441734,0.0659284972735526,0.7693547177753282,0.43432978,0.3178456202149391,1.5345479249954224,3.4868245,4526.710387494294,0.8302739709615707,1.1041328317564707,1.5194645,98.0373475609756,2.324997580332946
2,bugg_RPiID-10000000d7a35b3c,2025-08-31T00_34_25.614Z.mp3,2025-08-31 00:34:25.614,21173.02032939425,11946.835166377557,14880.516666666666,-5.85848e-05,0.00029292074,0.14972169600427726,63.52046273470067,102.52832412719727,-37.481323,9.76366138458252,0.013363926,0.7602409576789931,0.3462357267273079,1789,14.149580001831055,0.32649506483452684,0.064854409755072,5.035251524390244,0.00029195065,4.0402975e-07,3.1069252743068683,12.285666968825629,6,50.967540325576124,-36.011859817790196,-52.433764159947586,16.42190434215739,0.6312938501445973,0.1384762243267187,0.40181718843887704,0.3236751909014821,0.32453382117530627,21.17426429326893,4.082509554846545,327.49692,-0.9580648,0.02141668,0.17500055,0.0037479308,4.494208829365079,2.4857693,0.047082475076361485,0.8979838200340936,0.14048072091663164,0.13516493071729802,0.21344329629685016,0.1877786397841657,970.064453125,19.716731309890747,0.04417026592140921,0.054213191171981,0.6228838585468599,0.39477545,0.3330159894928026,3.4784562587738037,4.9252205,6706.223520301283,0.9743358884006739,0.5353562753115059,1.6982412,131.0499237804878,3.5121845359078594
3,bugg_RPiID-10000000d7a35b3c,2025-08-31T00_49_31.757Z.mp3,2025-08-31 00:49:31.757,19850.747188636713,10829.494949355658,10210.15,2.0478199e-06,0.00072513067,-21.714592278970045,2544.015218094082,106.46493911743164,-36.41735,12.327368259429932,0.0151054105,0.48129042842024927,0.35378362686278303,1828,16.726245880126953,0.33694600348364623,0.08492844756950399,3.9681783536585367,0.00044362058,8.6333466e-07,7.367533687489136,70.28512356904899,11,54.325706926617265,-32.65369289578552,-50.515762938643846,17.862070042858328,0.5017602246963151,0.08086614602180098,0.3874136816828029,0.1656861387987858,0.25945498551865,28.52836986817919,4.733838886969513,346.83258,-0.9449317,0.028313696,2.2719438,0.06432713,4.693382936507937,9.434714,0.3157199764285808,0.8623716187561079,0.14854902348415583,0.14440365946822187,0.21082216340250465,0.18375140643147503,949.259765625,21.635432243347168,0.039082537867789396,0.058546310644697175,0.5957523874022491,0.43512142,0.3264077038814624,1.9369570016860962,4.0708017,9861.65958346656,0.8891097530722618,0.6709300962046507,1.6541431,64.02439024390245,1.7356574235385211
4,bugg_RPiID-10000000d7a35b3c,2025-08-31T01_04_37.887Z.mp3,2025-08-31 01:04:37.887,20274.121314884167,10536.126539057852,10359.183333333332,-5.418158e-05,0.00047672013,1.808534482837707,132.05927837494013,104.64343070983887,-37.00794,10.475736618041992,0.0141124725,0.6774948338375383,0.32591445713179795,1684,15.142959356307983,0.30191600541900526,0.06562161096322587,4.601753048780488,0.00031824835,6.754798e-07,7.253016812361506,72.31955841212083,3,52.974978128171685,-34.00442168545505,-50.923558282762826,16.919136597307777,0.4800358348597274,0.16686593717488096,0.4277067301249522,0.40410965696162227,0.3172189499505904,28.808871264896396,4.659106146711637,326.80988,-0.9933986,0.003311648,1.4118506,0.0046755522,4.722225765306122,3.1072702,0.0318170692149539,0.898987213571338,0.14715282411182773,0.13742777229147388,0.21021568891348016,0.18068145385694928,933.400390625,18.589508533477783,0.03444396051103368,0.05716285807839704,0.5125665803154117,0.41316542,0.32434288039803505,1.8064899444580078,3.9272053,5155.858782638799,0.8754707127809525,1.2044189301838133,1.5710601,83.03163109756098,2.2644680966898956
5,bugg_RPiID-10000000d7a35b3c,2025-08-31T01_19_43.988Z.mp3,2025-08-31 01:19:43.988,20583.09653522605,10421.94964727396,9254.1,-5.7746154e-05,0.0006518078,-0.19568025313783546,152.20200726227017,106.00198745727539,-36.449028,11.983004570007324,0.015050416,0.6317891587720571,0.3222372750145152,1665,16.763732433319092,0.30152893361718597,0.06280675233056186,4.801829268292683,0.00046220465,8.8999116e-07,2.824215593440061,12.7471716411028,6,54.500312510817054,-32.47908776901396,-49.99083724535421,17.51174947634025,0.6647695087677058,0.39418178669862436,0.5093756843245885,0.45408524173174436,0.25387599005635,23.554385700717997,4.224835408770928,327.9884,-0.98255163,0.008800914,0.6187107,0.005445219,4.088042091836734,6.7033405,0.013969757040433932,0.8996002945198274,0.1466256455877629,0.14154871113264225,0.20538383188859477,0.17831169243612077,921.158203125,25.05056619644165,0.029990260840108397,0.05786980338981112,0.4417251040374667,0.44444516,0.3328419148068254,3.259801149368286,5.134252,7054.426805507091,0.9749218206852674,0.9078388798358381,1.8041437,77.02934451219512,1.576186241773132
6,bugg_RPiID-10000000d7a35b3c,2025-08-31T01_34_50.116Z.mp3,2025-08-31 01:34:50.116,18962.700083978012,10448.137769049672,10042.983333333334,-6.2422354e-05,0.00060745096,0.333035823658334,45.48395836513363,105.6959056854248,-34.211395,8.539641380310059,0.019472888,0.7692166004444064,0.3264950648345268,1687,13.091270923614502,0.30152893361718597,0.07293687367420086,4.134908536585366,0.0003350331,8.585275e-07,8.150492478441622,82.59160291356116,2,53.94328319078813,-33.0361162118487,-47.486178306203385,14.450062094354685,0.42687202276788,0.028449660367472318,0.6202912234776572,0.5084258593651335,0.14428398232625816,16.879154611908408,3.6517491295184126,317.97516,-0.9896827,0.005185409,2.033457,0.010544307,3.6593842120181406,3.914188,0.15147542487567175,0.8881600702422723,0.16272106490061858,0.1513660896731198,0.20276269899424929,0.18095593483836625,934.818359375,15.716108083724976,0.029852642276422762,0.0587436071806136,0.4703874024855548,0.45703128,0.3226029636959235,1.7180324792861938,3.58425,5170.7029668924715,0.8548849374055862,0.8192424328493102,1.4416165,45.0171493902439,0.9237457050909794
7,bugg_RPiID-10000000d7a35b3c,2025-08-31T01_49_56.240Z.mp3,2025-08-31 01:49:56.240,18785.246958386815,11171.398526787074,15539.466666666667,-6.8923684e-05,0.0008201776,1.4620445022672337,62.17622302827766,106.99987411499023,-36.275677,11.586159706115723,0.015353812,0.730136136527908,0.31120572866266694,1608,16.48970365524292,0.29572285658989744,0.14422801098759286,2.05078125,0.00035637696,1.0624876e-06,9.292442223091452,102.63752202749927,2,54.82571526953574,-32.15368464922385,-49.86178844150335,17.708103792279502,0.3798351117222035,0.011314113647368673,0.44679073293549165,0.34832894137066606,0.0790281503820417,13.374203318899562,3.068876700571934,311.3933,-0.9857351,0.007183662,2.6747286,0.019214347,3.5981986961451247,4.319332,0.17675507942762264,0.8843984203425219,0.16299700990930885,0.18359657240575458,0.2328970040160242,0.2094010114208285,1081.765625,15.629934072494507,0.06681078808555943,0.06975678378316036,0.9236751382833297,0.45977348,0.31741128861904144,1.5207191705703735,3.2697396,5286.549989334878,0.819244384765625,0.39252056666789525,1.4971371,45.0171493902439,0.9172806571815718
8,bugg_RPiID-10000000d7a35b3c,2025-08-31T02_06_13.804Z.mp3,2025-08-31 02:06:13.804,20141.762799499043,10654.97688093897,9787.716666666667,-6.959863e-05,0.000270192,0.1500500192661018,96.37948540428587,102.17757225036621,-37.572536,8.829433917999268,0.013224317,0.7067144716782429,0.3158505902844978,1632,13.53272557258606,0.29494871298625897,0.060802767842532204,4.8518483231707314,0.00028756302,3.0866835e-07,3.9403269601369355,28.130125172459216,6,49.99787354150844,-36.98152654761095,-51.334392360027266,14.352865812416319,0.6377208800257073,0.3086274110915098,0.478035725279506,0.4223848040945417,0.3046810358930846,49.529801134873054,5.881064562409825,323.85095,-0.9742208,0.013057938,0.3157134,0.004122566,4.028399589002268,1.8003682,0.05800896229859405,0.8975494932686171,0.14167510976021616,0.14298032590715518,0.20869784111697645,0.17960697045586527,927.849609375,20.92329502105713,0.03218194988869532,0.05680444433424278,0.4842299898042337,0.43128663,0.3313520550727844,2.5627005100250244,4.9542084,9161.527340487915,0.9539577253162861,1.1543757673233632,1.5978543,88.03353658536585,1.8578128024583818
9,bugg_RPiID-10000000d7a35b3c,2025-08-31T02_21_20.708Z.mp3,2025-08-31 02:21:20.708,20088.25987878562,10188.686501722796,8481.583333333334,-5.941949e-05,0.00037334007,-0.40986863147742425,67.13395173775557,103.58185768127441,-36.843666,8.58336591720581,0.014381917,0.7438757742995792,0.3313334623572673,1712,13.080108165740967,0.3129475517708535,0.06587134502923978,4.751810213414634,0.00029048376,4.4159628e-07,6.696534245546518,68.92926825908135,4,51.28176816834663,-35.69763191094531,-50.220011765783426,14.522379854838114,0.5284684424447058,0.3080162283060087,0.4704195932898235,0.45842796433051936,0.31157707264927403,52.325404762662295,6.03936591400102,330.56476,-0.98851645,0.0057749418,0.76084274,0.0043938225,4.07453691893424,2.7671254,1.4186109171026404e-304,0.9,0.1462673289346875,0.1373014837864192,0.20416340582780443,0.17575554103755325,907.953125,20.257327556610107,0.02817891320654278,0.05493048945259209,0.4385983078431298,0.42840365,0.3247991433988015,1.8325313329696655,4.2356205,6677.1507431368855,0.8875714540481567,1.3401754048893721,1.578356,70.0266768292683,1.6972830163569492
